# Date: 2022-04-25, 12:43:47
# Query: #x_ >PRED #y & #x_ >VTYPE #z_
# Running time: 552.87s 
# Treebanks: nob-avis, nob-child, nob-lbk-av, nob-lbk-sa, nob-lbk-tv, nob-ndt-lfg, nob-novel, nob-novel_1, nob-novel_2, nob-novel_3, nob-novel_4, nob-novel_5, nob-novel_6, nob-novel_7, nob-novel_8, nob-novel_9, nob-nrk, nob-sofie
# match types: 10810
# matches: 10458840

#	#y	
# Count	value
1303130	være
563609	ha-perf
370255	si
297592	kunne
247145	ha
225022	skulle
224428	ville
196738	bli
196032	gå
193083	se
183326	komme
143271	få
141650	gjøre
129884	måtte
124134	vite
97908	stå
85491	bli-pass
80909	exist
78868	ta
73716	være-pass
69919	tro
68832	sitte
64804	ligge
63507	høre
62342	tenke
59864	se*på
58025	spørre
51723	begynne
50135	være-perf
48845	gi
45889	kjenne
45476	holde
39369	finne
37045	fortelle
36761	svare
33252	smile
33032	la
31341	legge
29859	mene
29681	forstå
28890	tenke*på
27533	skje
27203	prøve
26978	huske&rememb
25608	dra
25189	skjønne
24972	sette*seg
23402	klare
23286	fortsette
23186	trenge
22872	like
22244	future
22066	synes&think
21756	slå
21650	føle
21361	le
21214	snakke
21153	nikke
20877	få*til
20852	åpne
20659	rope
19587	sette
19251	se*ut
19124	snakke*om
18726	bo
18670	lese
18656	skrive
18418	sove
18367	burde
18315	snu*seg
18234	ringe
18192	spise
18161	reise&raise*seg
17963	bruke
17720	vente&wait
17456	vise
17332	leve
17298	finnes
17150	kjøre
17047	hjelpe
16913	ønske
16874	glemme
16801	forsøke
16557	møte
16322	løpe
16083	forsvinne
16079	slippe
15659	dø
15650	falle
15591	fare
14939	elske
14935	følge
14068	stanse
14043	be
14043	virke&seem
13951	hviske
13836	trekke
13809	snakke*med
13770	sende
13544	lage
13373	drikke
13336	henge
13212	nå
13002	lukke
12941	legge*seg
12873	reise&travel
12613	løfte
12604	merke
12580	gråte
12559	spille
12418	treffe
12382	stirre*på
12269	hente
11935	kaste
11730	hende
11618	miste
11599	få-perf
11514	vente&wait*på
11431	kjøpe
11423	stikke
10954	hete
10942	kalle
10933	riste&shake*på
10875	bære
10744	føle*seg
10687	bety
10608	skrike
10403	oppdage
10255	fylle
9998	håpe
9978	forklare
9861	be*om
9798	gripe
9509	stirre
9326	ha*det
9279	drepe
9205	glide
9115	våkne
9058	flytte
8738	stoppe&stop
8708	gjelde
8703	føre
8546	greie
8433	drive
8384	fortelle*om
8349	velge
8291	mumle
8239	forlate
8045	skjelve
8043	bøye*seg
7982	stryke
7946	holde*seg
7927	slutte
7814	lure*på
7741	pleie&use
7692	ane
7635	vende
7561	kikke
7540	vite*om
7372	kysse
7370	sige
7281	oppleve
7236	jobbe
7205	synge
