"
leende PRES-PART_infl_rule le
seende PRES-PART_infl_rule se
beende PRES-PART_infl_rule be
bragte PRET-V1_infl_rule bringe
bragt PPART-V1_infl_rule bringe
likt PPART-V1_infl_rule like
bør PRES_infl_rule burde
byr PRES_infl_rule by
bydde PRET-V1_infl_rule by
bød PRET-V1_infl_rule by
budte PRET-V1_infl_rule by
budt PPART-V1_infl_rule by
bydd PPART-V1_infl_rule by
laget PRET-V1_infl_rule lage
laget PPART-V1_infl_rule lage
arbeidet PRET-V1_infl_rule arbeide
arbeidet PPART-V1_infl_rule arbeide
framhevet PPART-V1_infl_rule framheve
be VERB-IMP_infl_rule be
bad PRET-V1_infl_rule be
bedd PPART-V1_infl_rule be
lå PRET-V1_infl_rule ligge
låg PRET-V1_infl_rule ligge
sier PRES_infl_rule si
sa PRET-V1_infl_rule si
sagt PPART-V1_infl_rule si
sies S-PASSIVE-INF-PRES_infl_rule si
skjedde PRET-V1_infl_rule skje
skjedd PPART-V1_infl_rule skje
foretrukket PPART-V1_infl_rule foretrekke
;la VERB-IMP_infl_rule la
lot PRET-V1_infl_rule la
latt PPART-V1_infl_rule la
brann PRET-V1_infl_rule brenne
brant PRET-V1_infl_rule brenne
vant PRET-V2_infl_rule vinne
vunnet PPART-V1_infl_rule vinne
krekte PRET-V2_infl_rule kreke
fulgte PRET-V1_infl_rule følge
fulgt PPART-V1_infl_rule følge
fantes PRET-V1_infl_rule finnes
fans PRET-V1_infl_rule finnes
funnes PPART-V1_infl_rule finnes
solgte PRET-V2_infl_rule selge
solgt PPART-V2_infl_rule selge
gjaldt PRET-V2_infl_rule gjelde
fortsatte PRET-V2_infl_rule fortsette
fortsatt PPART-V2_infl_rule fortsette
hatt PPART-v1_infl_rule ha
hadde PRET-V1_infl_rule ha
vet PRES_infl_rule vite
veit PRES_infl_rule vite
visste PRET-V1_infl_rule vite
visst PPART-V1_infl_rule vite
forberedet PRET-V1_infl_rule forberede
forberedte PRET-V1_infl_rule forberede
forberedet PPART-V1_infl_rule forberede
forberedt PPART-V1_infl_rule forberede
er PRES_infl_rule være
var PRET-V2_infl_rule være
vær VERB-IMP_infl_rule være
overrakte PRET-V1_infl_rule overrekke
overrakt PPART-V1_infl_rule overrekke
tok PRET-V1_infl_rule ta
tatt PPART-V1_infl_rule ta
fikk PRET-V1_infl_rule få
fått PPART-V1_infl_rule få
forsvant PRET-V1_infl_rule forsvinne
forsvunnet PPART-V1_infl_rule forsvinne
så PRET-V1_infl_rule se
sett PPART-V1_infl_rule se
seende PRES-PART_infl_rule se
skrev PRET-V1_infl_rule skrive
skrevet PPART-V1_infl_rule skrive
hogg PRET-V1_infl_rule hogge
finnes PRES_infl_rule finnes
fins PRES_infl_rule finnes
ga PRET-V1_infl_rule gi
gitt PPART-V1_infl_rule gi
la PRET-V1_infl_rule legge
lagt PPART-V1_infl_rule legge
kan PRES_infl_rule kunne
kunne PRET-V1_infl_rule kunne
skal PRES_infl_rule skulle
skulle PRET-V1_infl_rule skulle
vil PRES_infl_rule ville
ville PRET-V1_infl_rule ville
ha verb-infin_infl_rule ha
finnes PRES_infl_rule finnes
fantes PRET-V2_infl_rule finnes
funnes PPART-V2_infl_rule finnes
gjør PRES_infl_rule gjøre
gjorde PRET-V1_infl_rule gjøre
gjort PPART-V1_infl_rule gjøre
dro PRET-V1_infl_rule dra
dratt PPART-V1_infl_rule dra
gikk PRET-V2_infl_rule gå
gått PPART-V2_infl_rule gå
satte PRET-V1_infl_rule sette
satt PPART-V1_infl_rule sette
plaget PRET-V1_infl_rule plage
plaget PPART-V1_infl_rule plage
;beundre VERB-IMP_infl_rule beundre
klamre VERB-IMP_infl_rule klamre
kvakk PRET-V1_infl_rule kvekke
satt PRET-V1_infl_rule sitte
hang PRET-V2_infl_rule henge
avhang PRET-V2_infl_rule avhenge
sov PRET-V1_infl_rule sove
kom PRET-V1_infl_rule komme
ankom PRET-V1_infl_rule ankomme
tilkom PRET-V1_infl_rule tilkomme
påla PRET-V2_infl_rule pålegge
pålagt PPART-V2_infl_rule pålegge
